DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2021,33.8,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2022,34.0,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2023,35.8,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2024,40.5,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2013,41.9,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2014,44.2,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2015,46.5,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2016,48.8,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2017,50.1,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2018,51.2,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2019,52.7,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2020,53.0,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2021,52.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2022,51.2,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2023,51.9,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Switzerland,2024,51.0,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2013,51.4,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2014,54.0,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2015,54.7,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2016,56.2,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2017,57.0,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2018,58.5,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2019,59.1,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2020,57.4,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2021,58.8,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2022,59.2,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2023,61.6,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Cyprus,2024,60.1,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2013,29.2,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2014,29.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2015,31.0,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2016,32.6,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2017,33.8,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2018,33.3,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2019,32.6,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2020,33.0,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2021,34.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2022,34.6,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2023,33.7,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Czechia,2024,33.5,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2013,29.9,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2014,28.4,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2015,29.6,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2016,30.5,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2017,31.3,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2018,32.3,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2019,33.3,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2020,35.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2021,36.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2022,36.8,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2023,37.9,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Germany,2024,39.9,,
ESTAT:EDAT_LFSE_03(1.0),12/06/25 23:00:00,Annual,Total,From 25 to 34 years,Percentage,Tertiary education (levels 5-8),Denmark,2013,40.9,,
